station,date,Latitude,Longitude,airT,ur
Alecrim,2025-02-28 00:00:00,-5.79807,-35.21727,25.1,90.1
DIM,2025-02-28 00:00:00,-5.87995,-35.29499,24.2,NA
EAJ,2025-02-28 00:00:00,-5.88395,-35.36455,23.4,99.3
Extremoz,2025-02-28 00:00:00,-5.66732,-35.29729,24.6,NA
Felipe camarao,2025-02-28 00:00:00,-5.82232,-35.26118,25,93.8
IF Central,2025-02-28 00:00:00,-5.81187,-35.20221,25.2,96
IFZN,2025-02-28 00:00:00,-5.74779,-35.26025,25.9,84.9
Lagoa Azul,2025-02-28 00:00:00,-5.72888,-35.2489,24.8,NA
Parnamirim,2025-02-28 00:00:00,-5.93898,-35.266639,24.6,NA
Ponta Negra,2025-02-28 00:00:00,-5.87605,-35.17857,25.5,92.2
Oceanografia,2025-02-28 00:00:00,-5.79524,-35.18359,33.5,90.4
Alecrim,2025-02-28 01:00:00,-5.79807,-35.21727,25.7,92.5
DIM,2025-02-28 01:00:00,-5.87995,-35.29499,24.5,NA
EAJ,2025-02-28 01:00:00,-5.88395,-35.36455,23.7,99.6
Extremoz,2025-02-28 01:00:00,-5.66732,-35.29729,23.6,NA
Felipe camarao,2025-02-28 01:00:00,-5.82232,-35.26118,25.1,94.1
IF Central,2025-02-28 01:00:00,-5.81187,-35.20221,25.7,97.9
IFZN,2025-02-28 01:00:00,-5.74779,-35.26025,25.4,87.3
Lagoa Azul,2025-02-28 01:00:00,-5.72888,-35.2489,24.4,NA
Parnamirim,2025-02-28 01:00:00,-5.93898,-35.266639,24.7,NA
Ponta Negra,2025-02-28 01:00:00,-5.87605,-35.17857,25.6,92.5
Oceanografia,2025-02-28 01:00:00,-5.79524,-35.18359,29.1,91.2
Alecrim,2025-02-28 02:00:00,-5.79807,-35.21727,25.8,92.1
DIM,2025-02-28 02:00:00,-5.87995,-35.29499,24.3,NA
EAJ,2025-02-28 02:00:00,-5.88395,-35.36455,23.8,99.7
Extremoz,2025-02-28 02:00:00,-5.66732,-35.29729,24,NA
Felipe camarao,2025-02-28 02:00:00,-5.82232,-35.26118,25,93.5
IF Central,2025-02-28 02:00:00,-5.81187,-35.20221,25.5,98.1
IFZN,2025-02-28 02:00:00,-5.74779,-35.26025,25.5,87.4
Lagoa Azul,2025-02-28 02:00:00,-5.72888,-35.2489,24.8,NA
Parnamirim,2025-02-28 02:00:00,-5.93898,-35.266639,24,NA
Ponta Negra,2025-02-28 02:00:00,-5.87605,-35.17857,25.1,91.8
Oceanografia,2025-02-28 02:00:00,-5.79524,-35.18359,27.7,86.7
Alecrim,2025-02-28 03:00:00,-5.79807,-35.21727,25.4,89.3
DIM,2025-02-28 03:00:00,-5.87995,-35.29499,23.9,NA
EAJ,2025-02-28 03:00:00,-5.88395,-35.36455,24,99.7
Extremoz,2025-02-28 03:00:00,-5.66732,-35.29729,24.3,NA
Felipe camarao,2025-02-28 03:00:00,-5.82232,-35.26118,24.4,92
IF Central,2025-02-28 03:00:00,-5.81187,-35.20221,25,96.6
IFZN,2025-02-28 03:00:00,-5.74779,-35.26025,25.2,87.4
Lagoa Azul,2025-02-28 03:00:00,-5.72888,-35.2489,24.4,NA
Parnamirim,2025-02-28 03:00:00,-5.93898,-35.266639,24.3,NA
Ponta Negra,2025-02-28 03:00:00,-5.87605,-35.17857,25.1,90.7
Oceanografia,2025-02-28 03:00:00,-5.79524,-35.18359,26.2,90.8
Alecrim,2025-02-28 04:00:00,-5.79807,-35.21727,25.2,89.6
DIM,2025-02-28 04:00:00,-5.87995,-35.29499,24.1,NA
EAJ,2025-02-28 04:00:00,-5.88395,-35.36455,24,99.7
Extremoz,2025-02-28 04:00:00,-5.66732,-35.29729,23.7,NA
Felipe camarao,2025-02-28 04:00:00,-5.82232,-35.26118,24.5,93.1
IF Central,2025-02-28 04:00:00,-5.81187,-35.20221,24.8,97.5
IFZN,2025-02-28 04:00:00,-5.74779,-35.26025,25.1,87.1
Lagoa Azul,2025-02-28 04:00:00,-5.72888,-35.2489,24.2,NA
Parnamirim,2025-02-28 04:00:00,-5.93898,-35.266639,24.1,NA
Ponta Negra,2025-02-28 04:00:00,-5.87605,-35.17857,25.2,91.7
Oceanografia,2025-02-28 04:00:00,-5.79524,-35.18359,26.5,90.8
Alecrim,2025-02-28 05:00:00,-5.79807,-35.21727,25.4,90.5
DIM,2025-02-28 05:00:00,-5.87995,-35.29499,23.9,NA
EAJ,2025-02-28 05:00:00,-5.88395,-35.36455,23.7,99.8
Extremoz,2025-02-28 05:00:00,-5.66732,-35.29729,23.4,NA
Felipe camarao,2025-02-28 05:00:00,-5.82232,-35.26118,24.4,93.9
IF Central,2025-02-28 05:00:00,-5.81187,-35.20221,25.2,96.9
IFZN,2025-02-28 05:00:00,-5.74779,-35.26025,24.7,87.2
Lagoa Azul,2025-02-28 05:00:00,-5.72888,-35.2489,24,NA
Parnamirim,2025-02-28 05:00:00,-5.93898,-35.266639,24.1,NA
Ponta Negra,2025-02-28 05:00:00,-5.87605,-35.17857,24.7,93.7
Oceanografia,2025-02-28 05:00:00,-5.79524,-35.18359,27,90.2
Alecrim,2025-02-28 06:00:00,-5.79807,-35.21727,25.1,92.7
DIM,2025-02-28 06:00:00,-5.87995,-35.29499,24.3,NA
EAJ,2025-02-28 06:00:00,-5.88395,-35.36455,23.8,99.9
Extremoz,2025-02-28 06:00:00,-5.66732,-35.29729,23.8,NA
Felipe camarao,2025-02-28 06:00:00,-5.82232,-35.26118,24.5,94.9
IF Central,2025-02-28 06:00:00,-5.81187,-35.20221,24.9,98.2
IFZN,2025-02-28 06:00:00,-5.74779,-35.26025,24.9,87.6
Lagoa Azul,2025-02-28 06:00:00,-5.72888,-35.2489,24.5,NA
Parnamirim,2025-02-28 06:00:00,-5.93898,-35.266639,24.4,NA
Ponta Negra,2025-02-28 06:00:00,-5.87605,-35.17857,24.9,93.1
Oceanografia,2025-02-28 06:00:00,-5.79524,-35.18359,26.2,91.8
Alecrim,2025-02-28 07:00:00,-5.79807,-35.21727,26.6,89
DIM,2025-02-28 07:00:00,-5.87995,-35.29499,26.3,NA
EAJ,2025-02-28 07:00:00,-5.88395,-35.36455,25.8,98.2
Extremoz,2025-02-28 07:00:00,-5.66732,-35.29729,25.3,NA
Felipe camarao,2025-02-28 07:00:00,-5.82232,-35.26118,25.7,91.1
IF Central,2025-02-28 07:00:00,-5.81187,-35.20221,25.9,96.6
IFZN,2025-02-28 07:00:00,-5.74779,-35.26025,27.4,84.5
Lagoa Azul,2025-02-28 07:00:00,-5.72888,-35.2489,25.9,NA
Parnamirim,2025-02-28 07:00:00,-5.93898,-35.266639,27.6,NA
Ponta Negra,2025-02-28 07:00:00,-5.87605,-35.17857,25.9,91.2
Oceanografia,2025-02-28 07:00:00,-5.79524,-35.18359,28,87.6
Alecrim,2025-02-28 08:00:00,-5.79807,-35.21727,28.2,82.3
DIM,2025-02-28 08:00:00,-5.87995,-35.29499,28.8,NA
EAJ,2025-02-28 08:00:00,-5.88395,-35.36455,30,78.6
Extremoz,2025-02-28 08:00:00,-5.66732,-35.29729,27.4,NA
Felipe camarao,2025-02-28 08:00:00,-5.82232,-35.26118,27.6,85
IF Central,2025-02-28 08:00:00,-5.81187,-35.20221,28,89.7
IFZN,2025-02-28 08:00:00,-5.74779,-35.26025,28.1,80.7
Lagoa Azul,2025-02-28 08:00:00,-5.72888,-35.2489,28,NA
