FID,compriment_via,largura_via,velocid_limite,fluxo_carros,velocid_carros
1,107.65,3,50,223,49
2,107.65,3,50,223,49
3,107.65,3,50,223,49
4,213.28,4,30,740,35
5,213.28,4,30,740,35
6,109.19,2,50,330,26
7,109.19,2,50,330,26
8,159.47,4,30,242,30
9,159.47,4,30,242,30
10,20.38,4,50,307.5,33
11,20.38,4,50,307.5,33
12,20.38,4,50,307.5,33
13,20.38,4,50,307.5,33
14,20.38,4,50,307.5,33
15,20.38,4,50,307.5,33
16,13.66,2,50,355,36
17,13.66,2,50,355,36
18,85.18,1,50,443,39
19,20.63,1,50,443,39
20,29.57,3,30,268.5,26.5
21,29.57,3,30,268.5,26.5
22,122.67,3,50,390.3333333333333,53.333333333333336
23,122.67,3,50,390.3333333333333,53.333333333333336
24,122.67,3,50,390.3333333333333,53.333333333333336
25,82.28,4,50,360,52.5
26,82.28,4,50,360,52.5
27,11.4,3,50,428.5,45.5
28,11.4,3,50,428.5,45.5
29,15.99,3,50,1148.75,60.5
30,15.99,3,50,1148.75,60.5
31,15.99,3,50,1148.75,60.5
32,15.99,3,50,1148.75,60.5
33,37.62,2,50,1148.75,60.5
34,37.62,2,50,1148.75,60.5
35,33.57,2,50,1148.75,60.5
36,33.57,2,50,1148.75,60.5
37,33.57,2,50,1148.75,60.5
38,33.57,2,50,1148.75,60.5
39,199.49,2,50,539.5,38
40,199.49,2,50,539.5,38
41,29.49,4,50,831,41
42,29.49,4,50,831,41
43,136.11,4,50,436.5,56
44,136.11,4,50,436.5,56
45,12.63,3,30,268.5,26.5
46,12.63,3,30,268.5,26.5
47,11.09,3,30,268.5,26.5
48,11.09,3,30,268.5,26.5
49,14.67,2,50,470,21.5
50,14.67,2,50,470,21.5
51,14.55,2,50,343.5,45.75
52,14.55,2,50,343.5,45.75
53,14.55,2,50,343.5,45.75
54,14.55,2,50,343.5,45.75
55,41.21,2,30,367.5,30
56,41.21,2,30,367.5,30
57,18.81,2,30,336.5,32
58,18.81,2,30,336.5,32
59,17.46,2,30,336.5,32
60,17.46,2,30,336.5,32
61,30.49,2,30,336.5,32
62,30.49,2,30,336.5,32
63,29.14,2,30,336.5,32
64,29.14,2,30,336.5,32
65,19.43,1,30,336.5,32
66,19.43,1,30,336.5,32
67,11.14,2,30,415.6666666666667,32
68,11.14,2,30,415.6666666666667,32
69,11.14,2,30,415.6666666666667,32
70,11.14,2,30,415.6666666666667,32
71,11.14,2,30,415.6666666666667,32
72,16.66,2,30,415.6666666666667,32
73,16.66,2,30,415.6666666666667,32
74,16.66,2,30,415.6666666666667,32
75,16.66,2,30,415.6666666666667,32
76,16.66,2,30,415.6666666666667,32
77,33.35,4,30,367.5,30
78,33.35,4,30,367.5,30
79,49.72,2,30,352,31
80,49.72,2,30,352,31
81,24.27,2,30,367.5,30
82,24.27,2,30,367.5,30
83,26.82,4,30,367.5,30
84,26.82,4,30,367.5,30
85,124.47,4,50,544,29.5
86,124.47,4,50,544,29.5
87,43.92,4,50,831,41
88,43.92,4,50,831,41
89,37.43,4,50,250.66666666666663,35
90,37.43,4,50,250.66666666666663,35
